level,problem_id,problem_name,operator_type,num_iterations,compile_rate,correctness_rate,constraint_violation_count,first_correct_iter,convergence_iter_95pct_best,best_iter,initial_correct_speedup,best_speedup,final_correct_speedup,relative_gain_from_first_correct,oscillation_count,regression_count,category
1,1,1_Square_matrix_multiplication_.py,matmul,3,0.3333333333333333,0.3333333333333333,2,0,0,0,0.15808383233532936,0.15808383233532936,0.15808383233532936,0.0,0,0,low-iteration-benefit
1,6,6_Matmul_with_large_K_dimension_.py,matmul,3,0.3333333333333333,0.3333333333333333,2,0,0,0,0.06132075471698114,0.06132075471698114,0.06132075471698114,0.0,0,0,low-iteration-benefit
1,19,19_ReLU.py,activation,3,0.3333333333333333,0.3333333333333333,2,0,0,0,0.5878467635402906,0.5878467635402906,0.5878467635402906,0.0,0,0,low-iteration-benefit
1,33,33_BatchNorm.py,normalization,3,0.6666666666666666,0.6666666666666666,1,0,1,1,0.5207756232686981,0.7541666666666668,0.7541666666666668,0.4481604609929079,0,0,iteration-dependent
1,41,41_Max_Pooling_1D.py,pooling,3,1.0,1.0,0,0,2,2,1.38996138996139,2.1343873517786562,2.1343873517786562,0.5355731225296442,0,0,iteration-dependent
